Date,Agent,Place,Type,Deaths,T-I,Description / Reference,Source
1952,Thallium,Australia,Chemical,0,C,While Veronica Mabel Monty admitted to poisoning her son-in-law the rugby league star Bobby Lulham she was acquitted at trial. ," Clair Scrine ""'More Deadly Than the Male' The Sexual Politics of Female Poisonings: Trials of the Thallium Women"" Limina Journal (Univ. of Western Australia) Vol.8 2002 pp. 127-143; Richard Guilliatt ""I Smell a Rat"" Sydney Morning Herald (Australia) October 19 2002"
1952,Thallium,Australia,Chemical,1,C,Ruby Norton killed her daughter's fiancée. ," Clair Scrine ""'More Deadly Than the Male' The Sexual Politics of Female Poisonings: Trials of the Thallium Women"" Limina Journal (Univ. of Western Australia) Vol.8 2002 pp. 127-143; Richard Guilliatt ""I Smell a Rat"" Sydney Morning Herald (Australia) October 19 2002"
1952,Thallium,Australia,Chemical,2,C,"Yvonne Fletcher killed first husband in 1948 second in 1952 by putting a rat poison containing thallium (""Thall-Rat"") in their food. "," Clair Scrine ""'More Deadly Than the Male' The Sexual Politics of Female Poisonings: Trials of the Thallium Women"" Limina Journal (Univ. of Western Australia) Vol.8 2002 pp. 127-143; Richard Guilliatt ""I Smell a Rat"" Sydney Morning Herald (Australia) October 19 2002"
1953,Thallium,Australia,Chemical,0,C,Beryl Hague put rat poison containing thallium into her husband's tea. ," Clair Scrine ""'More Deadly Than the Male' The Sexual Politics of Female Poisonings: Trials of the Thallium Women"" Limina Journal (Univ. of Western Australia) Vol.8 2002 pp. 127-143; Richard Guilliatt ""I Smell a Rat"" Sydney Morning Herald (Australia) October 19 2002"
1953,Thallium,Australia,Chemical,4,C,Caroline Grills was another tea-spiking poisoner.," Clair Scrine ""'More Deadly Than the Male' The Sexual Politics of Female Poisonings: Trials of the Thallium Women"" Limina Journal (Univ. of Western Australia) Vol.8 2002 pp. 127-143; Richard Guilliatt ""I Smell a Rat"" Sydney Morning Herald (Australia) October 19 2002"
1954,Parathion,Germany ,Chemical,1,C,Christa Lehmann laced chocolates with insecticide-containing parathion killing her neighbour’s daughter and dog. , John Harris Trestrail III Forensic Science and Medicine: Criminal Poisoning (2nd Ed.) Humana Press.
1954,Rat Poison,USA,Chemical,11,C,"Nancy Hazle aka ""Nannie Doss"". A serial killer active between the 1920s - 1954 she used arsenic to kill four of her five husbands her mother two children two sisters and a nephew. "," The New York Times ""Woman Admits Killing 4; Grandmother 49 Says She Poisoned 4 of 5 Husbands"" November 29 1954; Wayne Howell ""Arsenic's Long History"" Herald Sun (Melbourne Australia) May 10 2002"
1955,Thallium,Australia,Chemical,1,C,Aileen Smith murdered her husband. ," Clair Scrine ""'More Deadly Than the Male' The Sexual Politics of Female Poisonings: Trials of the Thallium Women"" Limina Journal (Univ. of Western Australia) Vol.8 2002 pp. 127-143"
1957,Thallium,West Germany,Chemical,0,S,Nikolai Khokhlov a KGB agent who defected had his coffee poisoned with thallium at a conference in Frankfurt; the KGB was suspected of involvement. ," The New York Times ""Russian Defector Is Poisoned"" September 28 1957; Ben McIntyre ""The spy poisoned by the KGB - but who lived to tell the tale"" The Times (London) December 1 2006"
1960,Pesticide,Japan,Chemical,2,C,Hiro Okubo killed her neighbour’s husband and child by mixing pesticide in with the milk. ," Mainichi Daily News ""Waiwai - Princess of Poison"" November 15 1998"
1960,Thallium,Switzerland,Chemical,1,S,Poisoning of Cameroonian opposition leader Felix-Roland Moumie by an SCDE intelligence officer who placed thallium in his coffee and a pastry. ," The New York Times ""Cameroon Party Chief is Dead in Poisoning"" November 4 1960; A.M. Rosenthal ""Swiss Hunting French Suspect in Slaying of Cameroon Leftist"" The New York Times December 31 1960; Howard W. French ""How France Shaped New Africa"" The New York Times February 28 1995; Le Temps ""Le thallium poison vedette avant le polonium 210; Il était une fois"" December 23 2006"
